成就编号	成就ICON	等级需求	成就名称	成就描述	任务类型	完成条件	金币	银币	活力	体力	经验	掉落	任务链 id	任务链顺序
27	m10001	1	英雄培养27	培养1760次英雄	1	1760	0	0	0	0	1350	20008|1|135	1	27
28	m10001	1	英雄培养28	培养1895次英雄	1	1895	0	0	0	0	1400	20008|1|140	1	28
29	m10001	1	英雄培养29	培养2035次英雄	1	2035	0	0	0	0	1450	20008|1|145	1	29
30	m10001	1	英雄培养30	培养2180次英雄	1	2180	0	0	0	0	1500	20008|1|150	1	30
31	m10001	1	英雄培养31	培养2330次英雄	1	2330	0	0	0	0	1550	20008|1|155	1	31
32	m10001	1	英雄培养32	培养2485次英雄	1	2485	0	0	0	0	1600	20008|1|160	1	32
33	m10001	1	英雄培养33	培养2645次英雄	1	2645	0	0	0	0	1650	20008|1|165	1	33
34	m10001	1	英雄培养34	培养2810次英雄	1	2810	0	0	0	0	1700	20008|1|170	1	34
35	m10001	1	英雄培养35	培养2980次英雄	1	2980	0	0	0	0	1750	20008|1|175	1	35
36	m10001	1	英雄培养36	培养3155次英雄	1	3155	0	0	0	0	1800	20008|1|180	1	36
37	m10001	1	英雄培养37	培养3335次英雄	1	3335	0	0	0	0	1850	20008|1|185	1	37
38	m10001	1	英雄培养38	培养3520次英雄	1	3520	0	0	0	0	1900	20008|1|190	1	38
39	m10001	1	英雄培养39	培养3710次英雄	1	3710	0	0	0	0	1950	20008|1|195	1	39
40	m10001	1	英雄培养40	培养3905次英雄	1	3905	0	0	0	0	2000	20008|1|200	1	40
41	m10001	1	英雄培养41	培养4105次英雄	1	4105	0	0	0	0	2050	20008|1|205	1	41
42	m10001	1	英雄培养42	培养4310次英雄	1	4310	0	0	0	0	2100	20008|1|210	1	42
43	m10001	1	英雄培养43	培养4520次英雄	1	4520	0	0	0	0	2150	20008|1|215	1	43
44	m10001	1	英雄培养44	培养4735次英雄	1	4735	0	0	0	0	2200	20008|1|220	1	44
45	m10001	1	英雄培养45	培养4955次英雄	1	4955	0	0	0	0	2250	20008|1|225	1	45
46	m10001	1	英雄培养46	培养5180次英雄	1	5180	0	0	0	0	2300	20008|1|230	1	46
47	m10001	1	英雄培养47	培养5410次英雄	1	5410	0	0	0	0	2350	20008|1|235	1	47
48	m10001	1	英雄培养48	培养5645次英雄	1	5645	0	0	0	0	2400	20008|1|240	1	48
49	m10001	1	英雄培养49	培养5885次英雄	1	5885	0	0	0	0	2450	20008|1|245	1	49
50	m10001	1	英雄培养50	培养6130次英雄	1	6130	0	0	0	0	2500	20008|1|250	1	50
51	m10001	1	英雄培养51	培养6380次英雄	1	6380	0	0	0	0	2550	20008|1|255	1	51
52	m10001	1	英雄培养52	培养6635次英雄	1	6635	0	0	0	0	2600	20008|1|260	1	52
53	m10001	1	英雄培养53	培养6895次英雄	1	6895	0	0	0	0	2650	20008|1|265	1	53
54	m10001	1	英雄培养54	培养7160次英雄	1	7160	0	0	0	0	2700	20008|1|270	1	54
55	m10001	1	英雄培养55	培养7430次英雄	1	7430	0	0	0	0	2750	20008|1|275	1	55
56	m10001	1	英雄培养56	培养7705次英雄	1	7705	0	0	0	0	2800	20008|1|280	1	56
57	m10001	1	英雄培养57	培养7985次英雄	1	7985	0	0	0	0	2850	20008|1|285	1	57
58	m10001	1	英雄培养58	培养8270次英雄	1	8270	0	0	0	0	2900	20008|1|290	1	58
59	m10001	1	英雄培养59	培养8560次英雄	1	8560	0	0	0	0	2950	20008|1|295	1	59
60	m10001	1	英雄培养60	培养8855次英雄	1	8855	0	0	0	0	3000	20008|1|300	1	60
61	m10002	1	装备强化1	强化5次装备	2	5	0	50	0	0	50	0	2	1
62	m10002	1	装备强化2	强化10次装备	2	10	0	100	0	0	100	0	2	2
63	m10002	1	装备强化3	强化20次装备	2	20	0	150	0	0	150	0	2	3
64	m10002	1	装备强化4	强化35次装备	2	35	0	200	0	0	200	0	2	4
65	m10002	1	装备强化5	强化55次装备	2	55	0	250	0	0	250	0	2	5
66	m10002	1	装备强化6	强化80次装备	2	80	0	300	0	0	300	0	2	6
67	m10002	1	装备强化7	强化110次装备	2	110	0	350	0	0	350	0	2	7
68	m10002	1	装备强化8	强化145次装备	2	145	0	400	0	0	400	0	2	8
69	m10002	1	装备强化9	强化185次装备	2	185	0	450	0	0	450	0	2	9
70	m10002	1	装备强化10	强化230次装备	2	230	0	500	0	0	500	0	2	10
71	m10002	1	装备强化11	强化280次装备	2	280	0	550	0	0	550	0	2	11
72	m10002	1	装备强化12	强化335次装备	2	335	0	600	0	0	600	0	2	12
73	m10002	1	装备强化13	强化395次装备	2	395	0	650	0	0	650	0	2	13
74	m10002	1	装备强化14	强化460次装备	2	460	0	700	0	0	700	0	2	14
75	m10002	1	装备强化15	强化530次装备	2	530	0	750	0	0	750	0	2	15
76	m10002	1	装备强化16	强化605次装备	2	605	0	800	0	0	800	0	2	16
77	m10002	1	装备强化17	强化685次装备	2	685	0	850	0	0	850	0	2	17
78	m10002	1	装备强化18	强化770次装备	2	770	0	900	0	0	900	0	2	18
79	m10002	1	装备强化19	强化860次装备	2	860	0	950	0	0	950	0	2	19
80	m10002	1	装备强化20	强化955次装备	2	955	0	1000	0	0	1000	0	2	20
81	m10002	1	装备强化21	强化1055次装备	2	1055	0	1050	0	0	1050	0	2	21
82	m10002	1	装备强化22	强化1160次装备	2	1160	0	1100	0	0	1100	0	2	22
83	m10002	1	装备强化23	强化1270次装备	2	1270	0	1150	0	0	1150	0	2	23
84	m10002	1	装备强化24	强化1385次装备	2	1385	0	1200	0	0	1200	0	2	24
85	m10002	1	装备强化25	强化1505次装备	2	1505	0	1250	0	0	1250	0	2	25
86	m10002	1	装备强化26	强化1630次装备	2	1630	0	1300	0	0	1300	0	2	26
87	m10002	1	装备强化27	强化1760次装备	2	1760	0	1350	0	0	1350	0	2	27
88	m10002	1	装备强化28	强化1895次装备	2	1895	0	1400	0	0	1400	0	2	28
89	m10002	1	装备强化29	强化2035次装备	2	2035	0	1450	0	0	1450	0	2	29
90	m10002	1	装备强化30	强化2180次装备	2	2180	0	1500	0	0	1500	0	2	30
91	m10002	1	装备强化31	强化2330次装备	2	2330	0	1550	0	0	1550	0	2	31
92	m10002	1	装备强化32	强化2485次装备	2	2485	0	1600	0	0	1600	0	2	32
93	m10002	1	装备强化33	强化2645次装备	2	2645	0	1650	0	0	1650	0	2	33
94	m10002	1	装备强化34	强化2810次装备	2	2810	0	1700	0	0	1700	0	2	34
95	m10002	1	装备强化35	强化2980次装备	2	2980	0	1750	0	0	1750	0	2	35
96	m10002	1	装备强化36	强化3155次装备	2	3155	0	1800	0	0	1800	0	2	36
97	m10002	1	装备强化37	强化3335次装备	2	3335	0	1850	0	0	1850	0	2	37
98	m10002	1	装备强化38	强化3520次装备	2	3520	0	1900	0	0	1900	0	2	38
99	m10002	1	装备强化39	强化3710次装备	2	3710	0	1950	0	0	1950	0	2	39
100	m10002	1	装备强化40	强化3905次装备	2	3905	0	2000	0	0	2000	0	2	40
101	m10002	1	装备强化41	强化4105次装备	2	4105	0	2050	0	0	2050	0	2	41
102	m10002	1	装备强化42	强化4310次装备	2	4310	0	2100	0	0	2100	0	2	42
103	m10002	1	装备强化43	强化4520次装备	2	4520	0	2150	0	0	2150	0	2	43
104	m10002	1	装备强化44	强化4735次装备	2	4735	0	2200	0	0	2200	0	2	44
105	m10002	1	装备强化45	强化4955次装备	2	4955	0	2250	0	0	2250	0	2	45
106	m10002	1	装备强化46	强化5180次装备	2	5180	0	2300	0	0	2300	0	2	46
107	m10002	1	装备强化47	强化5410次装备	2	5410	0	2350	0	0	2350	0	2	47
108	m10002	1	装备强化48	强化5645次装备	2	5645	0	2400	0	0	2400	0	2	48
109	m10002	1	装备强化49	强化5885次装备	2	5885	0	2450	0	0	2450	0	2	49
110	m10002	1	装备强化50	强化6130次装备	2	6130	0	2500	0	0	2500	0	2	50
111	m10002	1	装备强化51	强化6380次装备	2	6380	0	2550	0	0	2550	0	2	51
112	m10002	1	装备强化52	强化6635次装备	2	6635	0	2600	0	0	2600	0	2	52
113	m10002	1	装备强化53	强化6895次装备	2	6895	0	2650	0	0	2650	0	2	53
114	m10002	1	装备强化54	强化7160次装备	2	7160	0	2700	0	0	2700	0	2	54
115	m10002	1	装备强化55	强化7430次装备	2	7430	0	2750	0	0	2750	0	2	55
116	m10002	1	装备强化56	强化7705次装备	2	7705	0	2800	0	0	2800	0	2	56
117	m10002	1	装备强化57	强化7985次装备	2	7985	0	2850	0	0	2850	0	2	57
118	m10002	1	装备强化58	强化8270次装备	2	8270	0	2900	0	0	2900	0	2	58
119	m10002	1	装备强化59	强化8560次装备	2	8560	0	2950	0	0	2950	0	2	59
120	m10002	1	装备强化60	强化8855次装备	2	8855	0	3000	0	0	3000	0	2	60
121	m10003	1	装备合成1	合成1件装备	3	1	0	0	0	0	50	20023|1|1	3	1
122	m10003	1	装备合成2	合成2件装备	3	2	0	0	0	0	100	20023|1|2	3	2
123	m10003	1	装备合成3	合成4件装备	3	4	0	0	0	0	150	20023|1|3	3	3
124	m10003	1	装备合成4	合成7件装备	3	7	0	0	0	0	200	20023|1|4	3	4
125	m10003	1	装备合成5	合成11件装备	3	11	0	0	0	0	250	20023|1|5	3	5
126	m10003	1	装备合成6	合成16件装备	3	16	0	0	0	0	300	20023|1|6	3	6
127	m10003	1	装备合成7	合成22件装备	3	22	0	0	0	0	350	20023|1|7	3	7
128	m10003	1	装备合成8	合成29件装备	3	29	0	0	0	0	400	20023|1|8	3	8
129	m10003	1	装备合成9	合成37件装备	3	37	0	0	0	0	450	20023|1|9	3	9
130	m10003	1	装备合成10	合成46件装备	3	46	0	0	0	0	500	20023|1|10	3	10
131	m10003	1	装备合成11	合成56件装备	3	56	0	0	0	0	550	20023|1|11	3	11
132	m10003	1	装备合成12	合成67件装备	3	67	0	0	0	0	600	20023|1|12	3	12
133	m10003	1	装备合成13	合成79件装备	3	79	0	0	0	0	650	20023|1|13	3	13
134	m10003	1	装备合成14	合成92件装备	3	92	0	0	0	0	700	20023|1|14	3	14
135	m10003	1	装备合成15	合成106件装备	3	106	0	0	0	0	750	20023|1|15	3	15
136	m10003	1	装备合成16	合成121件装备	3	121	0	0	0	0	800	20023|1|16	3	16
137	m10003	1	装备合成17	合成137件装备	3	137	0	0	0	0	850	20023|1|17	3	17
138	m10003	1	装备合成18	合成154件装备	3	154	0	0	0	0	900	20023|1|18	3	18
139	m10003	1	装备合成19	合成172件装备	3	172	0	0	0	0	950	20023|1|19	3	19
140	m10003	1	装备合成20	合成191件装备	3	191	0	0	0	0	1000	20023|1|20	3	20
141	m10003	1	装备合成21	合成211件装备	3	211	0	0	0	0	1050	20023|1|21	3	21
142	m10003	1	装备合成22	合成232件装备	3	232	0	0	0	0	1100	20023|1|22	3	22
143	m10003	1	装备合成23	合成254件装备	3	254	0	0	0	0	1150	20023|1|23	3	23
144	m10003	1	装备合成24	合成277件装备	3	277	0	0	0	0	1200	20023|1|24	3	24
145	m10003	1	装备合成25	合成301件装备	3	301	0	0	0	0	1250	20023|1|25	3	25
146	m10003	1	装备合成26	合成326件装备	3	326	0	0	0	0	1300	20023|1|26	3	26
147	m10003	1	装备合成27	合成352件装备	3	352	0	0	0	0	1350	20023|1|27	3	27
148	m10003	1	装备合成28	合成379件装备	3	379	0	0	0	0	1400	20023|1|28	3	28
149	m10003	1	装备合成29	合成407件装备	3	407	0	0	0	0	1450	20023|1|29	3	29
150	m10003	1	装备合成30	合成436件装备	3	436	0	0	0	0	1500	20023|1|30	3	30
151	m10003	1	装备合成31	合成466件装备	3	466	0	0	0	0	1550	20023|1|31	3	31
152	m10003	1	装备合成32	合成497件装备	3	497	0	0	0	0	1600	20023|1|32	3	32
153	m10003	1	装备合成33	合成529件装备	3	529	0	0	0	0	1650	20023|1|33	3	33
154	m10003	1	装备合成34	合成562件装备	3	562	0	0	0	0	1700	20023|1|34	3	34
155	m10003	1	装备合成35	合成596件装备	3	596	0	0	0	0	1750	20023|1|35	3	35
156	m10003	1	装备合成36	合成631件装备	3	631	0	0	0	0	1800	20023|1|36	3	36
157	m10003	1	装备合成37	合成667件装备	3	667	0	0	0	0	1850	20023|1|37	3	37
158	m10003	1	装备合成38	合成704件装备	3	704	0	0	0	0	1900	20023|1|38	3	38
159	m10003	1	装备合成39	合成742件装备	3	742	0	0	0	0	1950	20023|1|39	3	39
160	m10003	1	装备合成40	合成781件装备	3	781	0	0	0	0	2000	20023|1|40	3	40
161	m10003	1	装备合成41	合成821件装备	3	821	0	0	0	0	2050	20023|1|41	3	41
162	m10003	1	装备合成42	合成862件装备	3	862	0	0	0	0	2100	20023|1|42	3	42
163	m10003	1	装备合成43	合成904件装备	3	904	0	0	0	0	2150	20023|1|43	3	43
164	m10003	1	装备合成44	合成947件装备	3	947	0	0	0	0	2200	20023|1|44	3	44
165	m10003	1	装备合成45	合成991件装备	3	991	0	0	0	0	2250	20023|1|45	3	45
166	m10003	1	装备合成46	合成1036件装备	3	1036	0	0	0	0	2300	20023|1|46	3	46
167	m10003	1	装备合成47	合成1082件装备	3	1082	0	0	0	0	2350	20023|1|47	3	47
168	m10003	1	装备合成48	合成1129件装备	3	1129	0	0	0	0	2400	20023|1|48	3	48
169	m10003	1	装备合成49	合成1177件装备	3	1177	0	0	0	0	2450	20023|1|49	3	49
170	m10003	1	装备合成50	合成1226件装备	3	1226	0	0	0	0	2500	20023|1|50	3	50
171	m10003	1	装备合成51	合成1276件装备	3	1276	0	0	0	0	2550	20023|1|51	3	51
172	m10003	1	装备合成52	合成1327件装备	3	1327	0	0	0	0	2600	20023|1|52	3	52
173	m10003	1	装备合成53	合成1379件装备	3	1379	0	0	0	0	2650	20023|1|53	3	53
174	m10003	1	装备合成54	合成1432件装备	3	1432	0	0	0	0	2700	20023|1|54	3	54
175	m10003	1	装备合成55	合成1486件装备	3	1486	0	0	0	0	2750	20023|1|55	3	55
176	m10003	1	装备合成56	合成1541件装备	3	1541	0	0	0	0	2800	20023|1|56	3	56
177	m10003	1	装备合成57	合成1597件装备	3	1597	0	0	0	0	2850	20023|1|57	3	57
178	m10003	1	装备合成58	合成1654件装备	3	1654	0	0	0	0	2900	20023|1|58	3	58
179	m10003	1	装备合成59	合成1712件装备	3	1712	0	0	0	0	2950	20023|1|59	3	59
180	m10003	1	装备合成60	合成1771件装备	3	1771	0	0	0	0	3000	20023|1|60	3	60
181	m10004	1	挑战副本1	完成5次副本	4	5	100	0	0	0	50	0	4	1
182	m10004	1	挑战副本2	完成10次副本	4	10	100	0	0	0	100	0	4	2
183	m10004	1	挑战副本3	完成20次副本	4	20	100	0	0	0	150	0	4	3
184	m10004	1	挑战副本4	完成35次副本	4	35	100	0	0	0	200	0	4	4
185	m10004	1	挑战副本5	完成55次副本	4	55	100	0	0	0	250	0	4	5
186	m10004	1	挑战副本6	完成80次副本	4	80	100	0	0	0	300	0	4	6
187	m10004	1	挑战副本7	完成110次副本	4	110	100	0	0	0	350	0	4	7
188	m10004	1	挑战副本8	完成145次副本	4	145	100	0	0	0	400	0	4	8
189	m10004	1	挑战副本9	完成185次副本	4	185	100	0	0	0	450	0	4	9
190	m10004	1	挑战副本10	完成230次副本	4	230	100	0	0	0	500	0	4	10
191	m10004	1	挑战副本11	完成280次副本	4	280	100	0	0	0	550	0	4	11
192	m10004	1	挑战副本12	完成335次副本	4	335	100	0	0	0	600	0	4	12
193	m10004	1	挑战副本13	完成395次副本	4	395	100	0	0	0	650	0	4	13
194	m10004	1	挑战副本14	完成460次副本	4	460	100	0	0	0	700	0	4	14
195	m10004	1	挑战副本15	完成530次副本	4	530	100	0	0	0	750	0	4	15
196	m10004	1	挑战副本16	完成605次副本	4	605	100	0	0	0	800	0	4	16
197	m10004	1	挑战副本17	完成685次副本	4	685	100	0	0	0	850	0	4	17
198	m10004	1	挑战副本18	完成770次副本	4	770	100	0	0	0	900	0	4	18
199	m10004	1	挑战副本19	完成860次副本	4	860	100	0	0	0	950	0	4	19
200	m10004	1	挑战副本20	完成955次副本	4	955	100	0	0	0	1000	0	4	20
201	m10004	1	挑战副本21	完成1055次副本	4	1055	100	0	0	0	1050	0	4	21
202	m10004	1	挑战副本22	完成1160次副本	4	1160	100	0	0	0	1100	0	4	22
203	m10004	1	挑战副本23	完成1270次副本	4	1270	100	0	0	0	1150	0	4	23
204	m10004	1	挑战副本24	完成1385次副本	4	1385	100	0	0	0	1200	0	4	24
205	m10004	1	挑战副本25	完成1505次副本	4	1505	100	0	0	0	1250	0	4	25
206	m10004	1	挑战副本26	完成1630次副本	4	1630	100	0	0	0	1300	0	4	26
207	m10004	1	挑战副本27	完成1760次副本	4	1760	100	0	0	0	1350	0	4	27
208	m10004	1	挑战副本28	完成1895次副本	4	1895	100	0	0	0	1400	0	4	28
209	m10004	1	挑战副本29	完成2035次副本	4	2035	100	0	0	0	1450	0	4	29
210	m10004	1	挑战副本30	完成2180次副本	4	2180	100	0	0	0	1500	0	4	30
211	m10004	1	挑战副本31	完成2330次副本	4	2330	100	0	0	0	1550	0	4	31
212	m10004	1	挑战副本32	完成2485次副本	4	2485	100	0	0	0	1600	0	4	32
213	m10004	1	挑战副本33	完成2645次副本	4	2645	100	0	0	0	1650	0	4	33
214	m10004	1	挑战副本34	完成2810次副本	4	2810	100	0	0	0	1700	0	4	34
215	m10004	1	挑战副本35	完成2980次副本	4	2980	100	0	0	0	1750	0	4	35
216	m10004	1	挑战副本36	完成3155次副本	4	3155	100	0	0	0	1800	0	4	36
217	m10004	1	挑战副本37	完成3335次副本	4	3335	100	0	0	0	1850	0	4	37
218	m10004	1	挑战副本38	完成3520次副本	4	3520	100	0	0	0	1900	0	4	38
219	m10004	1	挑战副本39	完成3710次副本	4	3710	100	0	0	0	1950	0	4	39
220	m10004	1	挑战副本40	完成3905次副本	4	3905	100	0	0	0	2000	0	4	40
221	m10004	1	挑战副本41	完成4105次副本	4	4105	100	0	0	0	2050	0	4	41
222	m10004	1	挑战副本42	完成4310次副本	4	4310	100	0	0	0	2100	0	4	42
223	m10004	1	挑战副本43	完成4520次副本	4	4520	100	0	0	0	2150	0	4	43
224	m10004	1	挑战副本44	完成4735次副本	4	4735	100	0	0	0	2200	0	4	44
225	m10004	1	挑战副本45	完成4955次副本	4	4955	100	0	0	0	2250	0	4	45
226	m10004	1	挑战副本46	完成5180次副本	4	5180	100	0	0	0	2300	0	4	46
227	m10004	1	挑战副本47	完成5410次副本	4	5410	100	0	0	0	2350	0	4	47
228	m10004	1	挑战副本48	完成5645次副本	4	5645	100	0	0	0	2400	0	4	48
229	m10004	1	挑战副本49	完成5885次副本	4	5885	100	0	0	0	2450	0	4	49
230	m10004	1	挑战副本50	完成6130次副本	4	6130	100	0	0	0	2500	0	4	50
231	m10004	1	挑战副本51	完成6380次副本	4	6380	100	0	0	0	2550	0	4	51
232	m10004	1	挑战副本52	完成6635次副本	4	6635	100	0	0	0	2600	0	4	52
233	m10004	1	挑战副本53	完成6895次副本	4	6895	100	0	0	0	2650	0	4	53
234	m10004	1	挑战副本54	完成7160次副本	4	7160	100	0	0	0	2700	0	4	54
235	m10004	1	挑战副本55	完成7430次副本	4	7430	100	0	0	0	2750	0	4	55
236	m10004	1	挑战副本56	完成7705次副本	4	7705	100	0	0	0	2800	0	4	56
237	m10004	1	挑战副本57	完成7985次副本	4	7985	100	0	0	0	2850	0	4	57
238	m10004	1	挑战副本58	完成8270次副本	4	8270	100	0	0	0	2900	0	4	58
239	m10004	1	挑战副本59	完成8560次副本	4	8560	100	0	0	0	2950	0	4	59
240	m10004	1	挑战副本60	完成8855次副本	4	8855	100	0	0	0	3000	0	4	60
241	m10001	1	挑战竞技场1	挑战5次竞技场	6	5	0	0	1	0	50	0	6	1
242	m10001	1	挑战竞技场2	挑战10次竞技场	6	10	0	0	2	0	100	0	6	2
243	m10001	1	挑战竞技场3	挑战20次竞技场	6	20	0	0	3	0	150	0	6	3
244	m10001	1	挑战竞技场4	挑战35次竞技场	6	35	0	0	4	0	200	0	6	4
245	m10001	1	挑战竞技场5	挑战55次竞技场	6	55	0	0	5	0	250	0	6	5
246	m10001	1	挑战竞技场6	挑战80次竞技场	6	80	0	0	6	0	300	0	6	6
247	m10001	1	挑战竞技场7	挑战110次竞技场	6	110	0	0	7	0	350	0	6	7
248	m10001	1	挑战竞技场8	挑战145次竞技场	6	145	0	0	8	0	400	0	6	8
249	m10001	1	挑战竞技场9	挑战185次竞技场	6	185	0	0	9	0	450	0	6	9
250	m10001	1	挑战竞技场10	挑战230次竞技场	6	230	0	0	10	0	500	0	6	10
251	m10001	1	挑战竞技场11	挑战280次竞技场	6	280	0	0	11	0	550	0	6	11
252	m10001	1	挑战竞技场12	挑战335次竞技场	6	335	0	0	12	0	600	0	6	12
253	m10001	1	挑战竞技场13	挑战395次竞技场	6	395	0	0	13	0	650	0	6	13
254	m10001	1	挑战竞技场14	挑战460次竞技场	6	460	0	0	14	0	700	0	6	14
255	m10001	1	挑战竞技场15	挑战530次竞技场	6	530	0	0	15	0	750	0	6	15
256	m10001	1	挑战竞技场16	挑战605次竞技场	6	605	0	0	16	0	800	0	6	16
257	m10001	1	挑战竞技场17	挑战685次竞技场	6	685	0	0	17	0	850	0	6	17
258	m10001	1	挑战竞技场18	挑战770次竞技场	6	770	0	0	18	0	900	0	6	18
259	m10001	1	挑战竞技场19	挑战860次竞技场	6	860	0	0	19	0	950	0	6	19
260	m10001	1	挑战竞技场20	挑战955次竞技场	6	955	0	0	20	0	1000	0	6	20
261	m10001	1	挑战竞技场21	挑战1055次竞技场	6	1055	0	0	21	0	1050	0	6	21
262	m10001	1	挑战竞技场22	挑战1160次竞技场	6	1160	0	0	22	0	1100	0	6	22
263	m10001	1	挑战竞技场23	挑战1270次竞技场	6	1270	0	0	23	0	1150	0	6	23
264	m10001	1	挑战竞技场24	挑战1385次竞技场	6	1385	0	0	24	0	1200	0	6	24
265	m10001	1	挑战竞技场25	挑战1505次竞技场	6	1505	0	0	25	0	1250	0	6	25
266	m10001	1	挑战竞技场26	挑战1630次竞技场	6	1630	0	0	26	0	1300	0	6	26
267	m10001	1	挑战竞技场27	挑战1760次竞技场	6	1760	0	0	27	0	1350	0	6	27
268	m10001	1	挑战竞技场28	挑战1895次竞技场	6	1895	0	0	28	0	1400	0	6	28
269	m10001	1	挑战竞技场29	挑战2035次竞技场	6	2035	0	0	29	0	1450	0	6	29
270	m10001	1	挑战竞技场30	挑战2180次竞技场	6	2180	0	0	30	0	1500	0	6	30
271	m10001	1	挑战竞技场31	挑战2330次竞技场	6	2330	0	0	31	0	1550	0	6	31
272	m10001	1	挑战竞技场32	挑战2485次竞技场	6	2485	0	0	32	0	1600	0	6	32
273	m10001	1	挑战竞技场33	挑战2645次竞技场	6	2645	0	0	33	0	1650	0	6	33
274	m10001	1	挑战竞技场34	挑战2810次竞技场	6	2810	0	0	34	0	1700	0	6	34
275	m10001	1	挑战竞技场35	挑战2980次竞技场	6	2980	0	0	35	0	1750	0	6	35
276	m10001	1	挑战竞技场36	挑战3155次竞技场	6	3155	0	0	36	0	1800	0	6	36
277	m10001	1	挑战竞技场37	挑战3335次竞技场	6	3335	0	0	37	0	1850	0	6	37
278	m10001	1	挑战竞技场38	挑战3520次竞技场	6	3520	0	0	38	0	1900	0	6	38
279	m10001	1	挑战竞技场39	挑战3710次竞技场	6	3710	0	0	39	0	1950	0	6	39
280	m10001	1	挑战竞技场40	挑战3905次竞技场	6	3905	0	0	40	0	2000	0	6	40
281	m10001	1	挑战竞技场41	挑战4105次竞技场	6	4105	0	0	41	0	2050	0	6	41
282	m10001	1	挑战竞技场42	挑战4310次竞技场	6	4310	0	0	42	0	2100	0	6	42
283	m10001	1	挑战竞技场43	挑战4520次竞技场	6	4520	0	0	43	0	2150	0	6	43
284	m10001	1	挑战竞技场44	挑战4735次竞技场	6	4735	0	0	44	0	2200	0	6	44
285	m10001	1	挑战竞技场45	挑战4955次竞技场	6	4955	0	0	45	0	2250	0	6	45
286	m10001	1	挑战竞技场46	挑战5180次竞技场	6	5180	0	0	46	0	2300	0	6	46
287	m10001	1	挑战竞技场47	挑战5410次竞技场	6	5410	0	0	47	0	2350	0	6	47
288	m10001	1	挑战竞技场48	挑战5645次竞技场	6	5645	0	0	48	0	2400	0	6	48
289	m10001	1	挑战竞技场49	挑战5885次竞技场	6	5885	0	0	49	0	2450	0	6	49
290	m10001	1	挑战竞技场50	挑战6130次竞技场	6	6130	0	0	50	0	2500	0	6	50
291	m10001	1	挑战竞技场51	挑战6380次竞技场	6	6380	0	0	51	0	2550	0	6	51
292	m10001	1	挑战竞技场52	挑战6635次竞技场	6	6635	0	0	52	0	2600	0	6	52
293	m10001	1	挑战竞技场53	挑战6895次竞技场	6	6895	0	0	53	0	2650	0	6	53
294	m10001	1	挑战竞技场54	挑战7160次竞技场	6	7160	0	0	54	0	2700	0	6	54
